City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,afaahiti,-17.75,-149.2833,26.54,77,23,7.64,PF,1738278303
109,saint croix,17.7397,-64.7388,25.25,87,0,2.57,VI,1738278304
110,sao felix do xingu,-6.6447,-51.995,23.31,98,100,0.36,BR,1738278305
111,grytviken,-54.2811,-36.5092,4.38,72,61,5.68,GS,1738278306
112,stanley,54.868,-1.6985,1.4,90,0,1.03,GB,1738278307
113,uruzgan,32.8333,66.0,-0.13,56,13,3.66,AF,1738278309
114,santa cruz cabralia,-16.2781,-39.0247,26.13,89,0,4.12,BR,1738278310
115,bredasdorp,-34.5322,20.0403,19.88,64,1,3.62,ZA,1738278311
116,ad dilam,23.9915,47.1627,11.96,44,0,3.57,SA,1738278312
117,tazovsky,67.4667,78.7,-26.15,98,79,3.55,RU,1738278314
118,morondava,-20.2833,44.2833,27.11,86,49,4.09,MG,1738278315
119,la ronge,55.1001,-105.2842,-20.86,59,0,2.06,CA,1738278316
120,omdurman,15.6445,32.4777,21.03,25,16,6.74,SD,1738278317
121,ta`u,-14.2336,-169.5144,28.15,76,88,8.41,AS,1738278318
122,nova sintra,14.8667,-24.7167,23.2,73,0,11.69,CV,1738278320
123,praia da vitoria,38.7333,-27.0667,16.14,77,40,6.78,PT,1738278321
124,port mathurin,-19.6833,63.4167,26.87,83,94,9.53,MU,1738278323
125,colonia,50.9333,6.95,3.47,92,75,2.57,DE,1738278056
126,katsuura,35.1333,140.3,5.85,47,0,4.11,JP,1738278327
127,namtsy,62.7161,129.6658,-44.67,100,98,0.66,RU,1738278330
128,illushi,6.6667,6.6308,26.71,23,4,1.22,NG,1738278332
129,argayash,55.4888,60.8767,-8.45,96,100,2.81,RU,1738278060
130,khandyga,62.6667,135.6,-45.48,100,78,0.62,RU,1738278334
131,voi,-3.3945,38.563,22.85,76,60,0.99,KE,1738278336
132,tabuk,17.4189,121.4443,20.11,95,100,0.32,PH,1738278337
133,leh,34.1667,77.5833,-19.78,100,100,1.83,IN,1738278338
134,kangding,30.0513,101.9603,0.33,92,68,0.55,CN,1738278339
135,nishinoomote,30.7333,131.0,10.85,47,33,2.32,JP,1738278340
136,pucheng,27.9233,118.5333,9.25,82,98,1.03,CN,1738278342
137,bamboo flat,11.7,92.7167,24.6,75,11,2.48,IN,1738278343
138,muynoq,43.7683,59.0214,-0.52,78,24,2.02,UZ,1738278344
139,tura,25.5198,90.2201,14.59,94,100,1.84,IN,1738278345
140,ancud,-41.8697,-73.8203,16.19,83,5,7.49,CL,1738278346
141,alliance,40.9153,-81.1059,4.12,86,100,4.44,US,1738278347
142,cabo san lucas,22.8909,-109.9124,22.09,48,0,3.6,MX,1738278233
143,sicuani,-14.2694,-71.2261,10.27,80,100,4.05,PE,1738278350
144,pisco,-13.7,-76.2167,23.03,78,0,9.26,PE,1738278351
145,kisangani,0.5167,25.2,22.66,42,2,0.58,CD,1738278352
146,berezovyy,51.6667,135.7,-20.15,84,100,2.03,RU,1738278354
147,qaqortoq,60.7167,-46.0333,-7.32,71,100,5.3,GL,1738278355
148,shenjiamen,29.9576,122.298,11.76,80,57,6.03,CN,1738278356
149,howrah,22.5892,88.3103,22.0,88,20,2.06,IN,1738278357
150,kodiak,57.79,-152.4072,-5.27,42,0,7.72,US,1738278358
151,scarborough,54.2797,-0.4044,3.24,51,50,1.34,GB,1738278302
152,kingston,17.997,-76.7936,28.53,65,75,10.29,JM,1738278258
153,laguna,38.421,-121.4238,15.13,63,0,3.09,US,1738278284
154,sao paulo de olivenca,-3.3783,-68.8725,24.91,93,48,0.08,BR,1738278363
155,inhambane,-23.865,35.3833,24.08,83,0,2.03,MZ,1738278215
156,cidreira,-30.1811,-50.2056,22.89,78,19,3.83,BR,1738278366
157,tofol,5.3248,163.0078,24.88,94,100,5.14,FM,1738278367
